campaign_id,campaign_name,campaign_type,status,start_date,end_date,budget,actual_spend,target_region_id,target_segment,impressions,clicks,conversions
73,Fall Launch 2025,PPC,Planned,2024-10-24,2024-11-09,81929.83,38233.02,8,Bronze,606643,5918,4960
74,Fall Discount 2022,Affiliate,Active,2025-02-26,2025-05-08,110838.62,117675.05,6,Bronze,1729835,40690,156
75,Flash Deal 2025,PPC,Paused,2024-12-07,2025-01-20,33919.81,17089.98,2,Silver,1237087,46568,4750
76,Spring Sale 2025,Radio,Completed,2023-06-10,2023-07-18,21468.17,8517.61,8,Gold,442422,28555,2036
77,Flash Deal 2025,Email,Completed,2025-01-05,2025-03-29,60155.14,65148.88,3,Gold,1711295,18529,3751
78,Winter Launch 2022,Radio,Completed,2024-02-28,2024-03-31,82958.37,44156.01,3,Bronze,216746,24440,2993
79,Mega Launch 2025,TV,Paused,2023-12-11,2023-12-20,86297.08,87378.42,8,Platinum,40441,46337,2351
80,Holiday Promo 2024,Affiliate,Completed,2024-07-11,2024-08-19,119140.6,51251.28,6,Gold,93551,19132,3204
81,Flash Event 2022,TV,Cancelled,2024-09-16,2024-09-26,125069.28,82352.12,3,Bronze,1071957,9710,2391
82,Flash Event 2024,Radio,Completed,2023-11-08,2023-12-09,97811.61,30963.59,2,Silver,595277,59407,1625
83,Spring Launch 2023,Email,Paused,2025-07-29,2025-08-09,115598.31,94760.1,7,Bronze,258670,27766,2972
84,Spring Event 2024,Influencer,Cancelled,2026-05-21,2026-06-03,32166.88,13053.12,6,Bronze,76262,25659,2035
85,Mega Deal 2023,TV,Cancelled,2024-03-01,2024-05-06,135119.33,62043.84,7,Platinum,1342645,24875,1530
86,Flash Event 2024,Email,Active,2025-04-11,2025-07-01,140140.13,152766.78,7,Silver,241494,53456,2077
87,Summer Deal 2023,PPC,Active,2023-12-18,2024-01-04,93350.51,86372.85,4,Silver,1314619,56888,3295
88,Holiday Promo 2023,Social Media,Cancelled,2026-01-07,2026-03-31,48316.58,19888.63,7,Silver,1966232,31331,4281
89,Winter Deal 2022,PPC,Cancelled,2026-02-13,2026-03-20,102799.71,66871.39,6,All,1298436,56584,1793
90,Holiday Launch 2025,Banner Ad,Paused,2023-11-19,2023-12-27,66245.47,46202.64,9,Gold,898524,49145,723
91,VIP Discount 2024,Affiliate,Planned,2025-05-04,2025-05-15,117612.78,109590.23,8,Gold,1147448,65353,1848
92,Winter Discount 2022,Radio,Planned,2025-03-21,2025-05-04,111915.54,56886.64,3,Platinum,881350,55913,4365
93,Holiday Deal 2023,Social Media,Paused,2024-11-19,2025-02-12,44305.16,21106.57,7,Silver,1921148,25604,1083
94,Summer Sale 2022,PPC,Active,2023-12-10,2023-12-19,143552.13,128086.4,4,All,1243158,62139,2087
95,Fall Discount 2025,Email,Planned,2025-10-08,2025-12-06,38149.26,25949.88,7,Silver,1252776,54822,1499
96,Fall Sale 2024,TV,Active,2025-12-28,2026-01-04,31823.62,12682.38,1,Gold,1868134,4506,1938
97,Spring Discount 2022,Influencer,Planned,2023-10-13,2023-12-15,17270.88,5701.82,4,Silver,1613771,39282,4408
98,Flash Event 2025,Radio,Active,2023-08-12,2023-09-13,5957.35,5422.15,2,Platinum,1824045,15425,1233
99,Holiday Launch 2024,Social Media,Cancelled,2024-09-14,2024-10-31,76562.95,30190.16,9,Bronze,874484,37647,4605
100,Winter Launch 2022,Radio,Completed,2023-10-23,2023-12-11,4986.01,4641.56,3,Platinum,1474172,52190,2168
101,Winter Sale 2025,TV,Paused,2024-05-29,2024-07-17,24355.78,14172.0,2,Bronze,432697,17402,4333
102,Spring Discount 2022,TV,Completed,2025-09-03,2025-10-05,2246.43,768.74,4,Platinum,1617096,54345,4669
103,VIP Launch 2025,Affiliate,Active,2025-12-05,2025-12-19,79203.2,27852.19,3,Bronze,277000,51607,1268
104,Winter Promo 2022,Social Media,Active,2025-06-08,2025-06-22,57841.93,17727.24,4,Silver,1053113,33311,1338
105,Summer Promo 2022,Radio,Cancelled,2025-05-30,2025-08-20,32677.33,20627.39,9,All,1568286,13891,1719
106,Spring Event 2023,PPC,Completed,2024-04-10,2024-05-12,90111.75,73840.45,4,Platinum,1581428,74569,2549
107,Spring Discount 2025,Affiliate,Cancelled,2026-04-28,2026-05-26,82175.41,61067.32,5,All,864055,20456,1671
108,Fall Launch 2023,TV,Planned,2025-06-05,2025-08-05,78267.76,64783.82,6,Gold,307765,67837,2529
109,Holiday Sale 2023,Influencer,Active,2025-05-31,2025-06-11,143809.19,82301.83,9,Silver,1979203,29733,4584
110,Winter Discount 2025,TV,Planned,2026-03-05,2026-04-23,92899.99,53989.83,2,Bronze,1519493,9414,1022
111,Mega Deal 2022,Influencer,Planned,2025-04-25,2025-07-12,148839.59,67453.48,6,Gold,151238,1215,3038
112,Flash Deal 2023,Radio,Active,2025-09-01,2025-10-04,44013.55,38613.22,7,All,1847142,29041,2842
113,Fall Event 2024,Radio,Paused,2025-05-26,2025-06-24,143483.76,109864.75,6,Platinum,1007891,50715,835
114,Flash Discount 2024,Radio,Paused,2024-01-06,2024-03-01,62121.37,56827.01,1,All,1602805,58297,1387
115,VIP Discount 2023,TV,Completed,2025-11-26,2026-01-19,16709.71,9860.12,6,Bronze,1924193,13981,4053
116,Spring Discount 2024,Social Media,Active,2024-09-21,2024-11-06,62319.08,24444.22,6,Silver,216385,72446,3278
117,Winter Launch 2023,Influencer,Cancelled,2024-05-09,2024-07-07,50903.49,35433.22,6,Silver,1182013,34393,816
118,VIP Promo 2025,Influencer,Paused,2026-03-07,2026-04-17,2784.37,2752.08,8,Silver,1698633,30199,349
119,Spring Deal 2024,PPC,Paused,2025-02-05,2025-03-10,82832.65,58678.28,9,Platinum,63002,60540,2740
120,Summer Promo 2023,Radio,Cancelled,2023-10-03,2023-11-11,10337.07,8513.33,3,Silver,987261,22177,3675
121,Mega Event 2022,PPC,Paused,2025-03-17,2025-04-06,123669.69,72044.29,3,Gold,273867,26244,2160
122,Fall Event 2023,Affiliate,Planned,2023-10-16,2023-11-30,23528.13,7161.39,9,Silver,1531615,21212,1739
123,Flash Discount 2023,PPC,Paused,2024-06-25,2024-07-14,120482.65,69363.86,8,All,343229,68009,4395
124,Winter Launch 2024,Influencer,Completed,2023-10-05,2023-10-24,8179.29,4387.56,6,Platinum,1635478,3852,4184
125,VIP Event 2024,PPC,Cancelled,2025-12-01,2025-12-26,148595.73,158754.9,7,Bronze,548941,22833,3683
126,Winter Sale 2025,Radio,Planned,2024-07-23,2024-09-04,3081.46,1745.39,9,Gold,490877,39156,4215
127,Fall Deal 2025,Banner Ad,Planned,2026-05-19,2026-06-03,98885.66,102572.13,6,Gold,1053566,60510,4820
128,Spring Event 2022,Influencer,Active,2024-09-17,2024-10-03,97967.34,31188.76,2,All,1096119,3680,3553
129,Spring Discount 2023,TV,Active,2024-02-14,2024-02-22,26398.56,22946.0,8,Gold,1609972,65580,3161
130,Flash Launch 2025,TV,Cancelled,2025-11-10,2025-11-18,110615.33,40045.21,3,All,1674515,32847,666
131,Mega Event 2025,Influencer,Cancelled,2024-03-10,2024-04-19,101348.35,48530.69,9,Gold,690085,49340,359
132,Flash Event 2025,TV,Planned,2026-01-06,2026-01-25,3650.22,2056.24,3,Gold,235069,35475,78
133,Winter Launch 2023,Banner Ad,Paused,2025-03-08,2025-03-15,148168.49,52033.14,6,Gold,1143795,72712,54
134,Fall Promo 2024,TV,Paused,2025-10-17,2025-12-21,48996.26,15986.79,3,Gold,937368,67414,393
135,Winter Deal 2022,TV,Active,2023-06-21,2023-08-15,147954.93,47046.0,3,Bronze,1281355,53747,1282
136,Summer Event 2022,Email,Active,2023-10-15,2023-10-26,149617.12,58983.67,6,All,1087835,165,4316
137,Mega Launch 2025,Affiliate,Cancelled,2024-02-14,2024-03-25,54411.19,37605.85,7,All,1538673,58625,2398
138,Mega Deal 2024,Banner Ad,Completed,2023-12-06,2024-02-15,56501.43,17297.06,8,Silver,587510,11745,3473
139,Winter Sale 2025,Social Media,Active,2025-06-09,2025-07-14,7311.07,7244.88,5,Silver,1572746,8412,3604
140,Fall Launch 2024,Email,Paused,2024-11-26,2025-01-31,28823.07,13235.52,7,All,778363,78549,2626
141,Mega Launch 2024,Radio,Paused,2023-06-22,2023-08-05,135674.43,108453.91,5,Silver,347966,39080,39
142,Holiday Discount 2024,Radio,Paused,2025-08-15,2025-09-28,132086.19,122311.32,9,Gold,630192,8979,2800
143,Spring Launch 2022,Affiliate,Planned,2025-08-07,2025-09-20,139025.46,81298.53,9,Platinum,1262804,75091,1976
144,Summer Discount 2024,Social Media,Cancelled,2024-01-31,2024-04-25,47949.33,34655.66,7,Silver,1173322,14752,307
145,Holiday Promo 2025,Radio,Cancelled,2025-12-18,2025-12-31,37129.34,35970.76,2,All,1246877,2291,3086
146,Holiday Launch 2024,Banner Ad,Paused,2026-04-14,2026-06-30,12660.54,11991.43,4,Bronze,716469,5612,2476
147,Fall Event 2024,Social Media,Planned,2026-05-29,2026-06-25,29331.49,22853.92,9,Gold,1918960,57970,3109
148,Flash Discount 2023,Email,Planned,2025-08-11,2025-08-20,88665.84,30901.5,6,Bronze,417001,27184,2901
149,Holiday Event 2025,Radio,Cancelled,2024-10-10,2024-12-31,130516.81,127907.27,5,Silver,886099,78111,2593
150,VIP Discount 2022,Influencer,Active,2024-04-20,2024-06-08,145405.38,95456.37,3,All,250486,37986,2122
151,VIP Launch 2022,PPC,Planned,2024-04-28,2024-07-27,123584.04,117366.61,4,Silver,1115971,56030,4269
152,VIP Promo 2022,Social Media,Paused,2025-10-06,2025-12-14,29923.44,26651.95,7,All,427378,63909,3759
153,VIP Event 2025,TV,Cancelled,2025-05-31,2025-07-29,57724.38,21537.06,2,Bronze,412174,6683,3156
154,Holiday Discount 2025,Email,Completed,2026-03-11,2026-04-16,140172.75,119298.92,3,Platinum,1987857,33317,4247
155,VIP Event 2025,Affiliate,Planned,2023-09-24,2023-10-01,56898.79,23374.32,9,Silver,1044198,23126,842
156,Flash Launch 2024,TV,Active,2026-01-22,2026-02-15,129459.95,135042.3,5,Silver,1541025,39938,4454
157,Winter Promo 2023,Email,Paused,2023-07-02,2023-07-12,66014.45,47190.03,6,Gold,241129,78854,2321
158,Holiday Deal 2024,Affiliate,Completed,2024-03-15,2024-04-16,66435.57,24623.08,7,Silver,1407066,7676,4450
159,Mega Discount 2022,Social Media,Paused,2025-01-13,2025-03-17,35087.04,10636.39,3,Platinum,1007406,62471,542
160,Flash Discount 2022,Influencer,Completed,2024-09-10,2024-11-15,138112.62,78916.48,1,Silver,1931397,6934,1313
161,Flash Deal 2022,Banner Ad,Completed,2025-04-20,2025-06-22,35613.58,12824.6,4,Silver,805764,46419,4944
162,Holiday Deal 2022,TV,Active,2025-08-29,2025-09-21,145469.18,55893.76,9,Bronze,490211,76776,4404
163,Mega Event 2025,Social Media,Active,2024-03-17,2024-03-30,113096.12,74762.26,9,Silver,896678,12010,508
164,Summer Launch 2025,Social Media,Planned,2024-03-11,2024-05-24,82589.66,67783.29,1,All,2476,74271,4872
165,VIP Sale 2023,Banner Ad,Planned,2024-08-05,2024-10-08,48184.13,41473.82,9,Gold,512721,45114,1018
166,VIP Promo 2024,Affiliate,Active,2023-11-12,2023-12-01,67721.83,46731.3,3,Gold,252355,9700,1494
167,VIP Sale 2023,TV,Planned,2023-07-10,2023-08-18,56607.49,50067.57,8,All,815486,21261,2181
168,Mega Sale 2025,Radio,Paused,2025-12-25,2026-03-05,124257.79,72673.42,3,Silver,1513038,3084,4971
169,VIP Event 2023,Banner Ad,Planned,2026-01-06,2026-02-19,6498.32,3701.14,9,All,514652,15665,4358
170,Flash Discount 2024,PPC,Active,2024-01-21,2024-03-28,95549.98,80860.94,6,All,116339,8841,2363
171,Spring Event 2023,Affiliate,Planned,2024-03-30,2024-04-30,50681.09,19730.65,2,Silver,1991131,14867,3579
172,Holiday Sale 2024,Radio,Paused,2026-03-23,2026-06-16,49124.8,29485.09,6,All,1618516,77235,1119
173,Winter Deal 2023,Radio,Active,2023-09-12,2023-11-17,136675.46,96061.12,7,Silver,1998905,65430,1227
174,Mega Promo 2025,Affiliate,Cancelled,2026-04-30,2026-05-29,133558.95,60852.53,5,All,135754,77228,4086
175,Winter Deal 2024,Banner Ad,Completed,2024-01-18,2024-03-03,53070.52,22882.34,8,All,785804,76465,4690
176,Fall Sale 2024,Influencer,Completed,2024-11-09,2025-02-03,115679.62,92294.12,5,Platinum,1086531,5421,731
177,Flash Deal 2024,TV,Completed,2025-01-24,2025-04-24,142110.6,129448.36,9,All,1749547,78673,1827
178,Fall Deal 2025,Social Media,Paused,2026-02-12,2026-04-06,69086.85,22702.16,8,Bronze,1033800,62140,1570
179,Spring Deal 2022,Influencer,Active,2024-04-08,2024-05-28,68517.66,68391.6,1,Silver,1728023,18237,1584
180,VIP Launch 2025,Email,Paused,2025-02-11,2025-03-26,73854.78,61312.65,6,Bronze,347097,34585,349
181,Winter Promo 2025,Social Media,Paused,2024-02-29,2024-04-22,86992.77,54689.85,4,Bronze,241037,77081,4717
182,Spring Deal 2022,Banner Ad,Completed,2024-05-06,2024-06-07,61278.71,28666.58,7,Gold,384830,39669,3285
183,Summer Discount 2024,Radio,Active,2023-10-11,2023-10-29,133068.91,86703.03,3,Silver,692073,31723,214
184,VIP Sale 2024,TV,Planned,2024-12-17,2025-02-11,118078.07,80111.88,1,Platinum,355136,64984,2493
185,Holiday Sale 2024,Banner Ad,Paused,2024-11-08,2024-11-25,78910.65,73713.14,2,All,365919,28447,1326
186,Summer Sale 2023,TV,Paused,2025-08-11,2025-09-21,58316.04,57472.62,5,All,1674488,60093,3051
187,Summer Sale 2022,Email,Active,2024-04-06,2024-05-12,39510.86,13096.61,3,Gold,83317,15917,1471
188,VIP Launch 2022,Radio,Planned,2024-10-29,2025-01-20,60686.65,64145.39,9,Silver,1591357,76820,3973
189,Winter Discount 2024,Email,Completed,2025-11-25,2025-12-22,2999.27,2586.95,3,Platinum,1985895,67758,3846
190,VIP Deal 2025,Email,Active,2023-12-15,2024-01-25,133890.85,109221.87,9,Platinum,866988,68257,3413
191,Holiday Event 2023,PPC,Completed,2025-07-13,2025-08-31,62294.07,18994.29,8,Gold,1717553,47138,994
192,Flash Discount 2023,Radio,Cancelled,2023-10-08,2024-01-06,47526.92,23409.18,4,Silver,780789,49985,1291
193,Mega Event 2025,Influencer,Paused,2026-05-10,2026-07-18,60401.65,51230.62,3,Platinum,1977048,47028,1454
194,Winter Promo 2022,PPC,Cancelled,2023-12-22,2024-02-14,63691.84,42292.35,3,All,1527479,17515,788
195,Flash Sale 2024,PPC,Active,2023-08-01,2023-10-05,17622.21,11572.01,7,Silver,2745,7498,840
196,Fall Discount 2025,Email,Completed,2025-03-02,2025-05-29,23894.06,25372.24,7,All,1549134,69495,4205
197,Fall Sale 2023,Social Media,Paused,2025-08-09,2025-09-20,59485.93,27516.8,5,All,102956,245,1393
198,Holiday Discount 2024,Social Media,Completed,2025-08-12,2025-11-02,60325.37,25315.49,6,Bronze,1485773,15676,4997
199,Flash Launch 2022,Influencer,Completed,2023-10-17,2023-11-13,89136.89,36272.42,3,Bronze,1299453,19554,564
200,Flash Launch 2023,PPC,Active,2026-05-31,2026-08-27,55187.63,45543.9,6,All,1784792,37842,932
